Song Name,Artist,Genre
Superpower,Beyoncé,R&B/Soul
Help Me,Joni Mitchell,Folk
My Stove's on Fire,Robert Lester Folsom,Folk
Cool Cat,Queen,Rock
Next to You,Erykah Badu,R&B/Soul
Let it Be,The Beatles,Soft Rock
Vienna,Billy Joel,"Pop, Rock?"
Dreams,The Cranberries,Rock
Big Yellow Taxi,Joni Mitchell,Folk
California,Joni Mitchell,Folk
Golden Jackal Song,The Mountain Goats,Indie
Den Mother,Foxing,Rock
The Bottom of It,Fruit Bats,Indie Folk
Zombie,The Cranberries,Rock
Fire in the Sky,Anderson .Paak,R&B/Soul
Sun Queen,Gerry Cinnamon,Indie
You Can Call Me Al,Paul Simon,Folk Rock
Midnight Lorry,Dispatch,Alternative
Everywhere,Fleetwood Mac,Rock
sofðu unga ástin mín,Kaleo,Icelandic Rock
Glass House,Kaleo,Icelandic Rock
