Song Name,Artist,Genre,# of Listens (Estimate)
Superpower,Beyoncé,R&B/Soul,100
Help Me,Joni Mitchell,Folk,64
My Stove's on Fire,Robert Lester Folsom,Folk,150
Cool Cat,Queen,Rock,24
Next to You,Erykah Badu,R&B/Soul,104
Let it Be,The Beatles,Soft Rock,241
Vienna,Billy Joel,Rock,98
Dreams,The Cranberries,Rock,204
Big Yellow Taxi,Joni Mitchell,Folk,14
California,Joni Mitchell,Folk,105
Golden Jackal Song,The Mountain Goats,Indie,32
Den Mother,Foxing,Rock,54
The Bottom of It,Fruit Bats,Indie Folk,75
Zombie,The Cranberries,Rock,107
Fire in the Sky,Anderson .Paak,R&B/Soul,23
Sun Queen,Gerry Cinnamon,Indie,32
You Can Call Me Al,Paul Simon,Folk Rock,43
Midnight Lorry,Dispatch,Alternative,54
Everywhere,Fleetwood Mac,Rock,1000
sofðu unga ástin mín,Kaleo,Icelandic Rock,72
Glass House,Kaleo,Icelandic Rock,100
Voy por Ti,Jorge Blanco,Pop,35
Heartattack,Demi Lovato,Pop,20
A Lingering Love,Fruit Bats,Indie Folk,34
stand up,Cythia Erivo ,Folk,30
A million dreams,Hugh Jackman Michelle Williams and Ziv Zaifman,Showtune,47
Abracadabra,Lady Gaga,Pop,20
APT.,Rose & Bruno Mars,K-Pop,42
Never Gonna Give You Up,Rick Astley,Pop,8675309
Golden,Kpdh,K-Pop,32678
what it is,dochii,Pop,20398
This Must Be the Place,The Talking Heads,Rock,27
Together Forever,Rick Astley,Pop,10
Flawless,The Ones,French House,12
May Ninth,Khruangbin,Instrumental,15
Touch the Sky,Kanye West,Hip Hop,30
pink pony club,Chappel Roan,Pop,57
not strong enough,Boygenius,Indie Rock,50
all the stars,sza,Pop,10927384
